Start Time,End Time,Speaker,Word
0.0,0.05999999999999872,C,was
0.08000000000000185,0.16000000000000014,C,the
0.1999999999999993,0.3410000000000011,C,first
0.4009999999999998,0.6009999999999991,C,item
0.6209999999999987,0.7010000000000005,C,you
0.7210000000000001,0.8810000000000002,C,had?
2.562000000000001,2.782,R,The
3.0229999999999997,3.2630000000000017,R,axe.
4.364000000000001,4.4239999999999995,C,A
4.464000000000002,4.704000000000001,C,small
4.824000000000002,4.984000000000002,C,axe.
6.7010000000000005,6.801000000000002,C,I
6.8210000000000015,7.401,C,personally
7.440999999999999,7.541999999999998,C,think
7.562000000000001,7.6419999999999995,C,you
7.662000000000003,7.802000000000003,C,should
7.821999999999999,7.982000000000003,C,take
8.001999999999999,8.162000000000003,C,this
8.342000000000002,8.522000000000002,C,along
8.562000000000001,8.681999999999999,C,with
8.721999999999998,10.023,C,you.
10.503000000000004,10.623000000000001,C,What
10.642999999999997,10.703,C,do
10.723000000000003,10.784000000000002,C,you
10.803999999999998,10.943999999999999,C,think
10.983999999999998,11.324000000000002,C,yourself?
11.904,12.104000000000003,R,Take
12.144000000000002,12.364,R,what?
13.205000000000002,13.364999999999998,C,Take
13.385000000000002,13.485000000000003,C,the
13.504999999999999,13.705000000000002,C,small
13.764999999999997,13.904999999999998,C,axe
13.945000000000004,14.126000000000001,C,along
14.145999999999997,14.266000000000002,C,with
14.306000000000001,14.425999999999998,C,you.
15.186000000000003,15.366000000000003,R,You
15.386,15.506000000000004,R,put
15.526,15.666,R,that
15.706,15.767,R,as
15.787000000000003,16.007,R,well?
16.687,16.867,C,"Yeah,"
16.886999999999997,16.907,C,I
16.927000000000003,17.026999999999997,C,put
17.047,17.166999999999998,C,"it,"
17.206999999999997,17.468,C,yes.
17.928,19.189000000000004,R,Yeah.
19.569,19.929,C,Because
20.108999999999998,20.169,C,I
20.209,20.309,C,was
20.328999999999997,20.468999999999998,C,going
20.489,20.589000000000002,C,with
20.608999999999998,20.709999999999997,C,the
20.73,21.029999999999998,C,whole...
22.110000000000003,22.290000000000003,C,"Well,"
22.31,22.330000000000002,C,a
22.531000000000002,22.751,C,little
22.770999999999997,23.051,C,later.
23.711000000000002,23.851000000000003,C,We'll
23.871,23.971,C,get
23.991000000000003,24.032,C,to
24.052000000000003,24.151999999999997,C,that
24.172,24.352,C,later
