Start Time,End Time,Speaker,Word
0.0,0.11999999999997613,R,the
0.19999999999998863,0.839999999999975,R,newspapers?
0.8599999999999852,0.8799999999999955,R,I
2.4209999999999923,2.580999999999989,R,think
2.600999999999999,3.001999999999981,R,that
3.0219999999999914,3.5619999999999834,R,would
3.6019999999999754,3.6619999999999777,R,be
3.681999999999988,3.72199999999998,R,a
3.7620000000000005,3.921999999999997,R,good
3.961999999999989,4.24199999999999,R,idea
4.281999999999982,4.601999999999975,R,because
5.342999999999989,5.462999999999994,R,if
5.6229999999999905,5.782999999999987,R,they
5.822999999999979,6.143000000000001,R,take
6.302999999999997,6.502999999999986,R,the
6.603999999999985,6.963999999999999,R,lighter
6.9839999999999804,7.024000000000001,R,as
7.043999999999983,7.244,R,well
7.263999999999982,7.363999999999976,R,they
7.383999999999986,7.543999999999983,R,could
7.804000000000002,8.043999999999983,R,set
8.123999999999995,8.22399999999999,R,it
8.263999999999982,8.344999999999999,R,on
8.384999999999991,8.685000000000002,R,fire
8.824999999999989,8.884999999999991,R,or
8.905000000000001,8.984999999999985,R,what
9.625,9.764999999999986,R,else
9.784999999999997,9.884999999999991,R,you
9.905000000000001,10.004999999999995,R,can
10.045999999999992,10.125999999999976,R,"do,"
10.145999999999987,10.225999999999999,R,you
10.265999999999991,10.425999999999988,R,can
10.506,10.786000000000001,R,crumple
10.805999999999983,10.885999999999996,R,it
10.96599999999998,11.085999999999984,R,up
11.145999999999987,11.225999999999999,R,and
11.245999999999981,11.305999999999983,R,you
11.345999999999975,11.445999999999998,R,can
11.525999999999982,11.705999999999989,R,put
11.765999999999991,11.826999999999998,R,it
12.266999999999996,12.447000000000003,R,down
12.466999999999985,12.607,R,your
12.626999999999981,13.006999999999977,R,clothes
13.506999999999977,13.546999999999997,R,as
13.566999999999979,13.707999999999998,R,like
13.74799999999999,14.347999999999985,R,insulation.
14.367999999999995,16.548999999999978,C,"Yeah,"
16.56899999999999,16.948999999999984,C,that's
16.968999999999994,17.089,C,an
17.109999999999985,17.409999999999997,C,interesting
17.42999999999998,17.669999999999987,C,idea.
19.990999999999985,20.59099999999998,C,"Yeah,"
21.232,21.27199999999999,C,I
21.311999999999983,21.512,C,think
22.492999999999995,22.63299999999998,C,take
22.65299999999999,22.712999999999994,C,the
22.752999999999986,23.232999999999976,C,newspapers.
23.566000000000003,23.605999999999995,C,So
23.625999999999976,23.74599999999998,C,they
23.76599999999999,23.925999999999988,C,might
23.96599999999998,24.066000000000003,C,be
24.105999999999995,24.226,C,"able,"
24.26599999999999,24.447000000000003,C,they'll
24.466999999999985,24.607,C,need
24.64699999999999,24.947000000000003,C,something
24.966999999999985,25.06699999999998,C,to
25.107,25.286999999999978,C,light
25.326999999999998,25.686999999999983,C,fires
25.746999999999986,25.807999999999993,C,if
25.827999999999975,25.96799999999999,C,they
25.988,26.24799999999999,C,can.
26.94799999999998,27.167999999999978,C,Yeah.
27.22799999999998,27.32899999999998,C,And
27.38899999999998,27.528999999999996,C,if
27.56899999999999,27.948999999999984,C,the
28.048999999999978,28.429000000000002,C,cigarette
28.468999999999994,28.829999999999984,C,"lighter,"
28.909999999999997,29.069999999999993,C,we'll
29.089999999999975,29.22999999999999,C,let
29.25,29.349999999999994,C,them
29.389999999999986,29.50999999999999,C,do
29.549999999999983,29.75,C,that.
31.11099999999999,31.470999999999975,C,"Okay,"
31.61099999999999,31.931999999999988,C,so
31.951999999999998,32.371999999999986,C,we'll...
33.212999999999994,33.492999999999995,C,"Alright,"
33.53299999999999,33.772999999999996,C,cool.
34.01299999999998,34.053,R,So
34.07299999999998,34.212999999999994,R,we'll
34.232999999999976,34.41299999999998,R,say
34.452999999999975,34.69399999999999,R,yes
34.73399999999998,34.853999999999985,R,for
34.91399999999999,35.494,R,newspapers.
35.75399999999999,36.11499999999998,C,Yeah.
36.79499999999999,37.035,R,Okay.
38.45599999999999,38.55599999999998,R,And
